path,wave,loc_estimate
hbsd/src/lib/msun/src/s_cospi.c,wave2,145
hbsd/src/lib/msun/src/s_cospif.c,wave2,107
hbsd/src/lib/msun/src/s_cpow.c,wave2,75
hbsd/src/lib/msun/src/s_cpowf.c,wave2,74
hbsd/src/lib/msun/src/s_cpowl.c,wave2,74
hbsd/src/lib/msun/src/s_cproj.c,wave2,47
hbsd/src/lib/msun/src/s_cprojf.c,wave2,42
hbsd/src/lib/msun/src/s_cprojl.c,wave2,42
hbsd/src/lib/msun/src/s_creal.c,wave2,35
hbsd/src/lib/msun/src/s_crealf.c,wave2,35
hbsd/src/lib/msun/src/s_creall.c,wave2,35
hbsd/src/lib/msun/src/s_csinh.c,wave2,165
hbsd/src/lib/msun/src/s_csinhf.c,wave2,106
hbsd/src/lib/msun/src/s_csqrt.c,wave2,112
hbsd/src/lib/msun/src/s_csqrtf.c,wave2,81
hbsd/src/lib/msun/src/s_csqrtl.c,wave2,123
hbsd/src/lib/msun/src/s_ctanh.c,wave2,146
hbsd/src/lib/msun/src/s_ctanhf.c,wave2,84
hbsd/src/lib/msun/src/s_erf.c,wave2,305
hbsd/src/lib/msun/src/s_erff.c,wave2,178
hbsd/src/lib/msun/src/s_exp2.c,wave2,396
hbsd/src/lib/msun/src/s_exp2f.c,wave2,136
hbsd/src/lib/msun/src/s_expm1.c,wave2,218
hbsd/src/lib/msun/src/s_expm1f.c,wave2,121
hbsd/src/lib/msun/src/s_fabs.c,wave2,26
hbsd/src/lib/msun/src/s_fabsf.c,wave2,30
hbsd/src/lib/msun/src/s_fabsl.c,wave2,43
hbsd/src/lib/msun/src/s_fdim.c,wave2,45
hbsd/src/lib/msun/src/s_finite.c,wave2,25
hbsd/src/lib/msun/src/s_finitef.c,wave2,29
hbsd/src/lib/msun/src/s_floor.c,wave2,74
hbsd/src/lib/msun/src/s_floorf.c,wave2,58
hbsd/src/lib/msun/src/s_floorl.c,wave2,96
hbsd/src/lib/msun/src/s_fma.c,wave2,295
hbsd/src/lib/msun/src/s_fmaf.c,wave2,76
hbsd/src/lib/msun/src/s_fmal.c,wave2,271
hbsd/src/lib/msun/src/s_fmax.c,wave2,65
hbsd/src/lib/msun/src/s_fmaxf.c,wave2,60
hbsd/src/lib/msun/src/s_fmaximum.c,wave2,65
hbsd/src/lib/msun/src/s_fmaximum_mag.c,wave2,73
hbsd/src/lib/msun/src/s_fmaximum_mag_num.c,wave2,88
hbsd/src/lib/msun/src/s_fmaximum_mag_numf.c,wave2,84
hbsd/src/lib/msun/src/s_fmaximum_mag_numl.c,wave2,77
hbsd/src/lib/msun/src/s_fmaximum_magf.c,wave2,68
hbsd/src/lib/msun/src/s_fmaximum_magl.c,wave2,62
hbsd/src/lib/msun/src/s_fmaximum_num.c,wave2,80
hbsd/src/lib/msun/src/s_fmaximum_numf.c,wave2,76
hbsd/src/lib/msun/src/s_fmaximum_numl.c,wave2,69
hbsd/src/lib/msun/src/s_fmaximumf.c,wave2,60
hbsd/src/lib/msun/src/s_fmaximuml.c,wave2,54
hbsd/src/lib/msun/src/s_fmaxl.c,wave2,54
hbsd/src/lib/msun/src/s_fmin.c,wave2,65
hbsd/src/lib/msun/src/s_fminf.c,wave2,60
hbsd/src/lib/msun/src/s_fminimum.c,wave2,66
hbsd/src/lib/msun/src/s_fminimum_mag.c,wave2,74
hbsd/src/lib/msun/src/s_fminimum_mag_num.c,wave2,90
hbsd/src/lib/msun/src/s_fminimum_mag_numf.c,wave2,85
hbsd/src/lib/msun/src/s_fminimum_mag_numl.c,wave2,79
hbsd/src/lib/msun/src/s_fminimum_magf.c,wave2,69
hbsd/src/lib/msun/src/s_fminimum_magl.c,wave2,63
hbsd/src/lib/msun/src/s_fminimum_num.c,wave2,82
hbsd/src/lib/msun/src/s_fminimum_numf.c,wave2,77
hbsd/src/lib/msun/src/s_fminimum_numl.c,wave2,71
hbsd/src/lib/msun/src/s_fminimumf.c,wave2,61
hbsd/src/lib/msun/src/s_fminimuml.c,wave2,55
hbsd/src/lib/msun/src/s_fminl.c,wave2,54
hbsd/src/lib/msun/src/s_frexp.c,wave2,52
hbsd/src/lib/msun/src/s_frexpf.c,wave2,40
hbsd/src/lib/msun/src/s_frexpl.c,wave2,62
hbsd/src/lib/msun/src/s_ilogb.c,wave2,41
hbsd/src/lib/msun/src/s_ilogbf.c,wave2,38
hbsd/src/lib/msun/src/s_ilogbl.c,wave2,49
hbsd/src/lib/msun/src/s_isfinite.c,wave2,58
hbsd/src/lib/msun/src/s_isnan.c,wave2,71
hbsd/src/lib/msun/src/s_isnormal.c,wave2,58
hbsd/src/lib/msun/src/s_llrint.c,wave2,6
hbsd/src/lib/msun/src/s_llrintf.c,wave2,6
hbsd/src/lib/msun/src/s_llrintl.c,wave2,6
