batch_id,path,dir,lines,status,clone_of
b1440,hbsd/src/sys/net80211/ieee80211.c,sys/net80211,2795,DEFERRED,
b1440,hbsd/src/sys/net80211/ieee80211_proto.c,sys/net80211,2915,DEFERRED,
b1440,hbsd/src/sys/net80211/ieee80211_node.c,sys/net80211,3365,DEFERRED,
b1440,hbsd/src/sys/net80211/ieee80211_mesh.c,sys/net80211,3613,DEFERRED,
b1441,hbsd/src/sys/netinet6/in6_proto.c,sys/netinet6,371,PENDING,
b1441,hbsd/src/sys/netinet6/ip6_forward.c,sys/netinet6,477,PENDING,
b1441,hbsd/src/sys/netinet6/ip6_gre.c,sys/netinet6,578,PENDING,
b1441,hbsd/src/sys/netinet6/scope6.c,sys/netinet6,623,PENDING,
b1442,hbsd/src/sys/netinet/in.c,sys/netinet,1897,DEFERRED,
b1442,hbsd/src/sys/netinet/sctp_auth.c,sys/netinet,1986,DEFERRED,
b1442,hbsd/src/sys/netinet/tcp_ratelimit.c,sys/netinet,1795,DEFERRED,
b1442,hbsd/src/sys/netinet/tcp_output.c,sys/netinet,2179,PENDING,
b1443,hbsd/src/sys/net80211/ieee80211_ioctl.c,sys/net80211,3734,PENDING,
b1443,hbsd/src/sys/net80211/ieee80211_ht.c,sys/net80211,3847,DEFERRED,
b1443,hbsd/src/sys/net80211/ieee80211_output.c,sys/net80211,4306,DEFERRED,
b1444,hbsd/src/sys/security/mac_ipacl/mac_ipacl.c,sys/security/mac_ipacl,449,DEFERRED,
b1445,hbsd/src/sys/netpfil/pf/pfsync_nv.c,sys/netpfil/pf,161,PENDING,
b1445,hbsd/src/sys/netpfil/pf/inet_nat64.c,sys/netpfil/pf,204,PENDING,
b1445,hbsd/src/sys/netpfil/pf/in4_cksum.c,sys/netpfil/pf,119,PENDING,
b1445,hbsd/src/sys/netpfil/pf/if_pflog.c,sys/netpfil/pf,368,DEFERRED,
b1446,hbsd/src/sys/netlink/route/iface_drivers.c,sys/netlink/route,183,PENDING,
b1446,hbsd/src/sys/netlink/route/neigh.c,sys/netlink/route,601,PENDING,
b1446,hbsd/src/sys/netlink/route/nexthop.c,sys/netlink/route,1123,PENDING,
b1446,hbsd/src/sys/netlink/route/rt.c,sys/netlink/route,1157,PENDING,
b1447,hbsd/src/sys/netinet/tcp_hpts.c,sys/netinet,2137,DEFERRED,
b1447,hbsd/src/sys/netinet/sctp_cc_functions.c,sys/netinet,2363,DEFERRED,
b1447,hbsd/src/sys/netinet/tcp_usrreq.c,sys/netinet,3015,DEFERRED,
b1447,hbsd/src/sys/netinet/ip_carp.c,sys/netinet,3123,DEFERRED,
b1448,hbsd/src/sys/netinet/ip_mroute.c,sys/netinet,3030,DEFERRED,
b1448,hbsd/src/sys/netinet/tcp_syncache.c,sys/netinet,2587,DEFERRED,
b1448,hbsd/src/sys/netinet/in_mcast.c,sys/netinet,3014,DEFERRED,
b1448,hbsd/src/sys/netinet/in_pcb.c,sys/netinet,3424,DEFERRED,
b1449,hbsd/src/sys/security/mac_portacl/mac_portacl.c,sys/security/mac_portacl,489,DEFERRED,
b1450,hbsd/src/sys/netinet/tcp_log_buf.c,sys/netinet,3352,DEFERRED,
